iter	RMSE
0	9.074709822
1	8.732572014
2	8.368663345
3	8.051923249
4	7.703901323
5	7.422299888
6	7.116713688
7	6.827964439
8	6.557842177
9	6.295615467
10	6.046205625
11	5.822986096
12	5.613854363
13	5.430671863
14	5.265827906
15	5.075914941
16	4.917463681
17	4.753084871
18	4.599110161
19	4.442374411
20	4.289306849
21	4.146550867
22	4.027642922
23	3.906762456
24	3.783713006
25	3.66004458
26	3.565806169
27	3.460436564
28	3.368560486
29	3.283431465
30	3.19447476
31	3.102942965
32	3.032760642
33	2.973955128
34	2.908316899
35	2.833274456
36	2.758916277
37	2.709231778
38	2.654176937
39	2.59304689
40	2.543499771
41	2.48941906
42	2.431216604
43	2.394972556
44	2.362752199
45	2.32797774
46	2.28805907
47	2.249289019
48	2.206253421
49	2.179941575
50	2.167028443
51	2.146533565
52	2.123958193
53	2.101990789
54	2.074204018
55	2.04850873
56	2.019476939
57	1.985865546
58	1.95432414
59	1.937055516
60	1.916203671
61	1.894302754
62	1.87585839
63	1.86654886
64	1.845452074
65	1.826110868
66	1.807383932
67	1.784929146
68	1.771321121
69	1.757531361
70	1.755155134
71	1.750296143
72	1.733086846
73	1.716706667
74	1.698525542
75	1.685272715
76	1.666170815
77	1.651068835
78	1.637148636
79	1.621234168
80	1.607170924
81	1.600626665
82	1.595478638
83	1.585761791
84	1.57004948
85	1.563165109
86	1.551287366
87	1.542089405
88	1.532943653
89	1.527816189
90	1.517526247
91	1.503980769
92	1.494640369
93	1.48890517
94	1.482421539
95	1.474967212
96	1.46369698
97	1.458523571
98	1.442366341
99	1.434197065
100	1.410859055
101	1.404503522
102	1.38661601
103	1.381519766
104	1.378991796
105	1.373949475
106	1.369494556
107	1.364215346
108	1.349604791
109	1.346322899
110	1.341866868
111	1.337352602
112	1.333398589
113	1.330590035
114	1.324206264
115	1.320228879
116	1.316265487
117	1.313661875
118	1.310602228
119	1.306684308
120	1.30374254
121	1.301005905
122	1.295487387
123	1.275552108
124	1.27267379
125	1.26960861
126	1.2614209
127	1.251465141
128	1.247115665
129	1.245086895
130	1.242358149
131	1.224361918
132	1.223582599
133	1.212880971
134	1.20286092
135	1.198415044
136	1.195825642
137	1.187253754
138	1.178743923
139	1.176248074
140	1.170028331
141	1.165739399
142	1.154142526
143	1.148502301
144	1.144038087
145	1.141061264
146	1.135169621
147	1.131528245
148	1.129925476
149	1.127543768
150	1.115750609
151	1.103281124
152	1.10102713
153	1.099050167
154	1.090130869
155	1.087387418
156	1.077067824
157	1.072842642
158	1.06893758
159	1.067848551
160	1.058704488
161	1.053446169
162	1.050826533
163	1.042442806
164	1.039708631
165	1.037966131
166	1.036732548
167	1.033996501
168	1.029827812
169	1.019449046
170	1.018378997
171	1.017381317
172	1.013555455
173	1.005068166
174	0.9967969865
175	0.9954102409
176	0.9874729874
177	0.9772014098
178	0.9687665688
179	0.9609300916
180	0.952918178
181	0.9491410584
182	0.9436074796
183	0.939703387
184	0.9358507086
185	0.9322695945
186	0.9307923054
187	0.9224174386
188	0.9158905963
189	0.9090696781
190	0.907457614
191	0.8998251214
192	0.8984685257
193	0.8961560345
194	0.8887191537
195	0.8835114596
196	0.8807552198
197	0.8788855137
198	0.8771270822
199	0.8754357329
200	0.8745912851
201	0.8733378242
202	0.8717360149
203	0.8686830866
204	0.8625895639
205	0.856596254
206	0.8527289713
207	0.851559366
208	0.8457766019
209	0.8427423448
