iter	Passed	Remaining
373	399	134
374	400	133
375	401	132
376	401	131
377	404	130
378	404	129
379	405	128
380	405	126
381	406	125
382	407	124
383	407	123
384	408	121
385	408	120
386	409	119
387	409	118
388	410	117
389	410	115
390	411	114
391	411	113
392	412	112
393	413	111
394	413	109
395	414	108
396	414	107
397	415	106
398	415	105
399	416	104
400	417	103
401	418	102
402	419	100
403	419	99
404	420	98
405	421	97
406	422	96
407	423	95
408	424	94
409	425	93
410	425	92
411	426	91
412	427	89
413	427	88
414	428	87
415	429	86
416	429	85
417	430	84
418	430	83
419	432	82
420	432	81
421	433	80
422	434	79
423	434	77
424	435	76
425	436	75
426	436	74
427	437	73
428	437	72
429	438	71
430	439	70
431	440	69
432	440	68
433	441	67
434	441	66
435	442	64
436	443	63
437	443	62
438	445	61
439	446	60
440	446	59
441	447	58
442	448	57
443	448	56
444	449	55
445	449	54
446	450	53
447	451	52
448	451	51
449	452	50
450	453	49
451	453	48
452	454	47
453	455	46
454	455	45
455	456	44
456	456	42
457	457	41
458	458	40
459	460	40
460	461	39
461	461	37
462	464	37
463	465	36
464	466	35
465	467	34
466	467	33
467	468	32
468	469	31
469	470	30
470	471	29
471	471	27
472	472	26
473	473	25
474	474	24
475	475	23
476	476	22
477	477	21
478	477	20
479	478	19
480	479	18
481	480	17
482	481	16
483	481	15
484	482	14
485	483	13
486	484	12
487	484	11
488	485	10
489	486	9
490	489	8
491	490	7
492	490	6
493	491	5
494	492	4
495	493	3
496	493	2
497	494	1
498	495	0
499	495	0
